0 177 0.064596 1503585933.0
1 300 0.204005 1503585981.0
2 424 0.205996 1503586029.0
3 546 0.258662 1503586076.0
4 669 0.009941 1503586124.0
5 793 0.011929 1503586172.0
6 915 0.186117 1503586219.0
7 1036 0.117426 1503586266.0
8 1158 0.048861 1503586313.0
9 1279 0.019704 1503586360.0
10 1401 0.178349 1503586407.0
11 1520 0.043078 1503586453.0
12 1640 0.241131 1503586500.0
13 1759 0.09417 1503586547.0
14 1883 0.17059 1503586595.0
15 2004 0.164707 1503586642.0
16 2123 0.033217 1503586688.0
17 2245 0.164824 1503586735.0
18 2369 0.162849 1503586783.0
19 2490 0.172447 1503586830.0
20 2612 0.02561 1503586877.0
21 2734 0.223667 1503586924.0
22 2853 0.088405 1503586970.0
23 2974 0.019849 1503587017.0
24 3020 1.380875 1503587036.0
25 3207 0.214791 1503587140.0
26 3336 0.187244 1503587190.0
27 3468 0.255949 1503587241.0
28 3599 0.058061 1503587292.0
29 3729 0.126903 1503587343.0
30 3858 0.004411 1503587393.0
31 3987 0.131012 1503587443.0
32 4116 0.266313 1503587493.0
33 4246 0.135123 1503587543.0
34 4373 0.07039 1503587592.0
35 4502 0.205814 1503587642.0
36 4629 0.141207 1503587691.0
37 4756 0.190141 1503587740.0
38 4883 0.254748 1503587789.0
39 5009 0.052742 1503587838.0
40 5136 0.149265 1503587887.0
41 5260 0.15124 1503587935.0
42 5384 0.113527 1503587983.0
43 5505 0.111553 1503588031.0
44 5625 0.157155 1503588079.0
45 5744 0.225712 1503588126.0
46 5865 0.238958 1503588173.0
47 5987 0.029629 1503588221.0
48 6110 0.235011 1503588269.0
49 6166 1.899138 1503588293.0
50 6354 0.103597 1503588400.0
51 6482 0.239021 1503588450.0
52 6610 0.107704 1503588500.0
53 6741 0.090196 1503588551.0
54 6871 0.02137 1503588602.0
55 7001 0.047366 1503588653.0
56 7131 0.116084 1503588704.0
57 7262 0.081811 1503588755.0
58 7387 0.120195 1503588804.0
59 7510 0.055589 1503588853.0
60 7636 0.075726 1503588903.0
61 7761 0.126283 1503588952.0
62 7887 0.204954 1503589001.0
63 8014 0.069634 1503589051.0
64 8137 0.067659 1503589099.0
65 8262 0.134349 1503589148.0
66 8388 0.196869 1503589197.0
67 8510 0.071721 1503589245.0
68 8631 0.126339 1503589292.0
69 8753 0.142252 1503589340.0
70 8876 0.122387 1503589388.0
71 8999 0.12041 1503589436.0
72 9122 0.118434 1503589484.0
73 9245 0.116459 1503589532.0
74 9298 1.0844 1503589554.0
75 9487 0.044781 1503589655.0
76 9613 0.109398 1503589704.0
77 9738 0.092611 1503589753.0
78 9866 0.038705 1503589803.0
79 9989 0.03673 1503589851.0
80 10114 0.165277 1503589900.0
81 10239 0.100671 1503589949.0
82 10365 0.036061 1503589998.0
83 10490 0.028667 1503590047.0
84 10610 0.040013 1503590094.0
85 10734 0.041987 1503590142.0
86 10855 0.110544 1503590189.0
87 10977 0.08751 1503590236.0
88 11101 0.181077 1503590284.0
89 11221 0.217011 1503590330.0
90 11338 0.184865 1503590376.0
91 11458 0.013189 1503590423.0
92 11576 0.122074 1503590469.0
93 11695 0.009406 1503590515.0
94 11814 0.125862 1503590561.0
95 11931 0.205647 1503590606.0
96 12052 0.136964 1503590653.0
97 12168 0.064881 1503590698.0
98 12288 0.066596 1503590744.0
99 12337 1.734196 1503590765.0
100 12514 0.242777 1503594942.0
101 12626 0.044591 1503594985.0
102 12743 0.020267 1503595030.0
103 12857 0.018421 1503595074.0
104 12974 0.183458 1503595119.0
105 13091 0.118721 1503595164.0
106 13208 0.212761 1503595209.0
107 13322 0.01089 1503595254.0
108 13441 0.124399 1503595300.0
109 13558 0.059649 1503595345.0
110 13677 0.194807 1503595391.0
111 13794 0.136559 1503595436.0
112 13910 0.065303 1503595481.0
113 14027 0.000421 1503595526.0
114 14144 0.064333 1503595571.0
115 14260 0.13751 1503595616.0
116 14374 0.139344 1503595660.0
117 14491 0.192157 1503595705.0
118 14607 0.009694 1503595750.0
119 14722 0.2551 1503595794.0
120 14838 0.213367 1503595839.0
121 14955 0.118013 1503595884.0
122 15072 0.182903 1503595929.0
123 15190 0.047634 1503595975.0
124 15226 1.086312 1503595990.0
125 15423 0.09092 1503596101.0
126 15566 0.106811 1503596156.0
127 15703 0.095363 1503596209.0
128 15815 2.163753 1503596254.0
129 16037 0.032164 1503596351.0
130 16175 0.096609 1503596404.0
131 16312 0.105564 1503596457.0
132 16450 0.225616 1503596510.0
133 16589 0.17659 1503596564.0
134 16725 0.112151 1503596617.0
135 16863 0.247619 1503596671.0
136 16996 0.249762 1503596723.0
137 17132 0.08129 1503596776.0
138 17265 0.120883 1503596829.0
139 17397 0.123024 1503596881.0
140 17530 0.125169 1503596933.0
141 17663 0.127311 1503596985.0
142 17796 0.129453 1503597037.0
143 17935 0.001691 1503597091.0
144 18068 0.000447 1503597143.0
145 18199 0.069171 1503597194.0
146 18332 0.071324 1503597246.0
147 18468 0.006883 1503597299.0
148 18601 0.009021 1503597351.0
149 18682 1.276959 1503597384.0
150 18862 0.080878 1503597478.0
151 18980 0.050481 1503597524.0
152 19094 0.151367 1503597569.0
153 19210 0.246724 1503597615.0
154 19323 0.221728 1503597660.0
155 19441 0.176357 1503597706.0
156 19558 0.041096 1503597752.0
157 19675 0.094049 1503597798.0
158 19793 0.037303 1503597844.0
159 19908 0.102193 1503597889.0
160 20026 0.233547 1503597935.0
161 20146 0.164987 1503597982.0
162 20263 0.029722 1503598028.0
163 20386 0.02774 1503598076.0
164 20506 0.225787 1503598123.0
